name,admission,theater_release,vod_release
American Sniper,"345,782",2015-01-14,2015-04-16
Jupiter Ascending ,"309,842",2015-02-05,2015-05-07
Run all night,"289,534",2015-03-19,2015-06-18
Mad Max: Fury Road,"3,884,129",2015-05-14,2015-08-13
San Andreas,"1,716,455",2015-06-03,2015-09-03
Gallows,"88,777",2015-09-03,2015-12-03
The Intern,"3,611,166",2015-09-24,2015-12-17
Pan,"186,174",2015-10-08,2016-01-07
Man From U.N.C.L.E,"108,552",2015-10-28,2016-01-28
In the Heart of the Sea,"809,841",2015-12-03,2016-03-03
Batman v Superman : Dawn of Justice ,"2,256,691",2016-03-24,2016-06-29
Legend of Tarzan,"858,406",2016-06-29,2016-08-02
Me Before You,"945,172",2016-06-01,2016-08-11
Conjuring 2,"1,928,605",2016-06-09,2016-08-31
Suicide Squad,"1,898,220",2016-08-03,2016-10-07
Lights Out,"1,111,284",2016-08-24,2016-10-12
Mil Jeong (The Age of Shadows) (LP),"7,500,457",2016-09-07,2016-10-18
Sully,"627,424",2016-09-28,2016-11-10
Accountant,"69,529",2016-10-13,2016-11-24
Fantastic Beasts and Where To Find Them,"4,667,176",2016-11-16,2017-01-12
Storks,"323,730",2016-12-07,2017-01-24
A Single Rider (LP),"351,276",2017-02-22,2017-03-09
The LEGO Batman Movie,"148,760",2017-02-09,2017-03-23
Kong: Skull Island,"1,689,079",2017-03-08,2017-04-07
King Arthur: Legend of the Sword,"415,714",2017-05-17,2017-06-22
Wonder Woman,"2,165,407",2017-05-31,2017-06-28
Annabelle: Creation,"1,934,312",2017-08-10,2017-09-12
V.I.P (LP),"1,373,342",2017-08-23,2017-09-19
IT ,"888,826",2017-09-06,2017-10-02
Lego Ninjago Movie,"154,497",2017-09-28,2017-10-26
Geostorm,"1,028,386",2017-10-19,2017-11-14
Dunkirk,"2,788,682",2017-07-20,2017-12-13
Justice League,"1,786,316",2017-11-15,2017-12-19
Ready Player One,"2,254,430",2018-03-28,2018-05-02
Rampage,"1,385,511",2018-04-12,2018-05-10
Champion (LP),"1,128,774",2018-05-01,2018-05-24
Ocean's 8,"1,335,829",2018-06-13,2018-07-18
The Witch : Part 1. The Subversion,"3,189,091",2018-06-27,2018-07-25
ILLANG : THE WOLF BRIGADE,"897,548",2018-07-25,2018-08-14
The Meg,"527,331",2018-08-15,2018-09-12
The Nun,"1,011,580",2018-09-19,2018-10-17
A Star is born,"485,001",2018-10-09,2018-11-06
Crazy Rich Asians,"154,297",2018-10-25,2018-11-22
Fantastic Beasts: The Crimes of Grindelwald,"2,414,062",2018-11-14,2018-12-12
Aquaman,"5,038,134",2018-12-19,2019-01-23
